Brand,Device,CC Count,NRPN Count,PC Count,Total Parameters,MIDI Thru,MIDI Clock,Phantom Power
Red Panda,Particle 2,36,0,0,36,No,No,None
Red Panda,radius,28,0,0,28,Yes,Yes,unknown
Roland,D-05,8,0,0,8,No,No,None
Roland,GAIA SH-01,8,0,0,8,No,No,None
Roland,JD-XA,75,16,0,91,No,No,None
Roland,JD-Xi,20,0,0,20,No,No,None
Roland,JP-08,48,0,0,48,No,No,None
Roland,JU-06,34,0,0,34,No,No,None
Roland,ju-06a,39,0,0,39,No,No,None
Roland,jv-1010,24,0,0,24,No,No,None
Roland,JX-03,42,0,0,42,No,No,None
Roland,jx-08,49,0,0,49,No,No,None
Roland,jupiter-x_(jupiter-xm),22,0,0,22,No,No,None
Roland,mc-101,25,0,0,25,No,No,None
Roland,mc-2oh2,43,0,0,43,No,No,None
Roland,mx-1,55,0,0,55,No,No,None
Roland,s-1,54,0,0,54,No,No,None
Roland,SE-02,58,0,0,58,No,No,None
Roland,SH-01A,42,0,0,42,No,No,None
Roland,sh-4d,31,0,0,31,No,No,None
Roland,system-1_(system-1m),56,0,0,56,No,No,None
Roland,SYSTEM-8,79,0,0,79,No,No,None
Roland,TB-03,10,0,0,10,No,No,None
Roland,tb-3,13,0,0,13,No,No,None
Roland,tr-06,43,0,0,43,No,No,None
Roland,TR-08,38,0,0,38,No,No,None
Roland,TR-09,39,0,0,39,No,No,None
Roland,tr-6s,34,0,0,34,No,No,None
Roland,TR-8,50,0,0,50,No,No,None
Roland,tr-8s,55,0,0,55,No,No,None
Roland,VP-03,31,0,0,31,No,No,None
Roland,xv-5050,33,0,0,33,No,No,None
Roland,FR-18D,0,0,0,0,No,No,None
Roland,BK-7m,26,0,0,26,No,No,None
Roland,FR-06/07/08,3,0,0,3,No,No,None
Roland,SYSTEM-1,54,0,0,54,No,No,None
Sequential,Pro 3,115,0,0,115,No,No,None
Sequential,Prophet 6,60,0,0,60,No,No,None
Sequential,take_5,89,0,0,89,No,No,None
Sequential,Prophet 12,106,0,0,106,No,No,None
Sequential,OB-6,50,0,0,50,No,No,None
Sequential,Prophet X,87,0,0,87,No,No,None
Sequential,Rev 2,63,0,0,63,No,No,None
sherman,filterbank,10,0,0,10,No,No,None
sonicware,liven_lofi-12,43,0,0,43,No,No,None
sonicware,liven_xfm,43,0,0,43,No,No,None
sonicware,smpltrek,33,0,0,33,No,No,None
Source Audio,Nemesis,52,0,0,52,Yes,Yes,None
Source Audio,Ventris,101,0,0,101,Yes,Yes,None
Source Audio,Ultrawave,18,0,0,18,No,No,None
Source Audio,Collider,67,0,0,67,Yes,Yes,None
Source Audio,Spectrum Intelligence Filter,7,0,0,7,No,No,None
Source Audio,EQ2,128,0,0,128,Yes,Yes,None
Source Audio,Programmable EQ,15,0,0,15,No,No,None
Source Audio,Atlas,25,0,0,25,Yes,Yes,unknown
Source Audio,C4 Synth,7,0,0,7,No,Yes,None
Strymon,NightSky,55,0,0,55,Yes,Yes,None
Strymon,Volante,52,0,0,52,No,No,None
Strymon,Ultraviolet,11,0,0,11,No,No,None
Strymon,Deco,33,0,0,33,No,No,None
Strymon,blueSky,22,0,0,22,No,No,None
Strymon,DIG,37,0,0,37,No,No,None
Strymon,Zelzah,36,0,0,36,No,No,None
Strymon,Cloudburst,14,0,0,14,No,No,None
Strymon,El Capistan,33,0,0,33,No,No,None
Strymon,Iridium,16,0,0,16,No,No,None
Strymon,Flint,36,0,0,36,No,No,None
Strymon,Mobius,76,0,0,76,Yes,Yes,None
Strymon,Timeline,65,0,0,65,Yes,Yes,None
Strymon,Lex,31,0,0,31,No,No,None
Strymon,Sunset,22,0,0,22,No,No,None
Strymon,Riverside,23,0,0,23,No,No,None
Strymon,Bigsky,68,0,0,68,Yes,Yes,None
Strymon,Brig,13,0,0,13,No,No,None
Strymon,Compadre,12,0,0,12,No,No,None
Strymon,Bigsky MX,122,0,0,122,Yes,Yes,None
studio_electronics,atc-1,34,0,0,34,No,No,None
studio_electronics,se-1x,50,0,0,50,No,No,None
Studiologic,Sledge,67,0,0,67,No,No,None
TC Electronic,d-two,43,0,0,43,No,No,None
TC Electronic,Plethora X5,69,0,0,69,Yes,Yes,None
TC Electronic,Plethora X3,45,0,0,45,Yes,Yes,None
TC Electronic,Hall of Fame 2 X4 Reverb,8,0,0,8,No,No,None
TC Electronic,Nova Drive,15,0,0,15,No,No,None
TC Electronic,Flashback 2 X4 Delay,14,0,0,14,No,No,None
TC Electronic,Ditto X4,17,0,0,17,Yes,Yes,None
tasty_chips,gr-1,37,0,0,37,No,No,None
Teenage Engineering,op-1,4,0,0,4,No,No,None
Teenage Engineering,OP-Z,48,0,0,48,No,No,None
twisted_electrons,megafm,41,0,0,41,No,No,None
twisted_electrons,therapsid,58,0,0,58,No,No,None
udo_audio,super_6,91,0,0,91,No,No,None
voodoolab,control_switcher,32,0,0,32,No,No,None
voodoolab,gcx,16,0,0,16,No,No,None
voodoolab,hex,24,0,0,24,No,No,None
Vongon,Polyphrase,14,0,0,14,No,No,None
WMD,Geiger Counter Pro,48,0,0,48,No,No,None
Waldorf,Blofeld,177,0,0,177,No,No,None
Waldorf,iridium,115,0,0,115,No,No,None
Waldorf,m,46,0,0,46,No,No,None
Waldorf,pulse_2,90,0,0,90,No,No,None
Waldorf,rocket,23,0,0,23,No,No,None
Waldorf,streichfett,23,0,0,23,No,No,None
Walrus Audio,ACS1,11,0,0,11,No,No,None
Walrus Audio,D1 (New version),21,0,0,21,No,No,None
